return_id,sales_order_number,sales_order_line_number,shipment_id,customer_key,product_key,product_category_key,sales_territory_key,currency_key,return_reason_id,return_request_date,return_received_date,refund_date,original_order_quantity,return_quantity,original_line_sales_amount,refund_amount,resolution,return_status,synthetic_note,data_origin,generator_version,scenario_id,seed,generated_at
RET-000012,SO44252,1,SHP-000421,13777,312,1,10,98,RR-004,2011-04-10,2011-04-15,2011-04-19,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000013,SO44274,1,SHP-000443,28152,314,1,4,100,RR-004,2011-04-28,2011-05-07,2011-05-11,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000014,SO44336,1,SHP-000465,25895,345,1,1,100,RR-003,2011-04-22,2011-04-28,2011-05-01,1,1,3399.99,3297.99,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000015,SO44373,1,SHP-000502,13767,310,1,8,29,RR-006,2011-05-11,2011-05-18,2011-05-20,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000016,SO44395,1,SHP-000524,28339,314,1,1,100,RR-006,2011-05-02,2011-05-05,2011-05-07,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000017,SO44405,1,SHP-000534,28224,310,1,4,100,RR-006,2011-05-09,2011-05-12,2011-05-14,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000018,SO44420,1,SHP-000549,17512,311,1,9,6,RR-005,2011-05-12,2011-05-20,2011-05-21,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000019,SO44477,1,SHP-000606,17922,310,1,9,6,RR-005,2011-05-18,2011-05-26,2011-05-27,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000020,SO44626,1,SHP-000665,18272,313,1,9,6,RR-005,2011-06-12,2011-06-16,2011-06-17,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000021,SO44724,1,SHP-000763,28665,314,1,1,100,RR-006,2011-06-14,2011-06-17,2011-06-19,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000022,SO44817,1,SHP-000793,14777,312,1,10,98,RR-003,2011-06-27,2011-07-07,2011-07-10,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000023,SO44849,1,SHP-000825,17996,322,1,7,39,RR-006,2011-07-10,2011-07-17,2011-07-19,1,1,699.1,678.13,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000024,SO44875,1,SHP-000851,29048,313,1,4,100,RR-003,2011-06-26,2011-07-02,2011-07-05,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000025,SO44943,1,SHP-000919,25568,330,1,9,6,RR-005,2011-07-17,2011-07-21,2011-07-22,1,1,699.1,678.13,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000026,SO44958,1,SHP-000934,20173,332,1,10,98,RR-005,2011-07-23,2011-07-27,2011-07-28,1,1,699.1,678.13,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000027,SO45002,1,SHP-000978,13844,312,1,8,29,RR-006,2011-07-19,2011-07-26,2011-07-28,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000028,SO45003,1,SHP-000979,29059,314,1,4,100,RR-003,2011-07-19,2011-07-25,2011-07-28,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000029,SO45081,1,SHP-001017,26782,338,1,6,19,RR-005,2011-08-03,2011-08-07,2011-08-08,1,1,699.1,678.13,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000030,SO45099,1,SHP-001035,29174,312,1,1,100,RR-006,2011-07-29,2011-08-01,2011-08-03,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000031,SO45112,1,SHP-001048,20558,324,1,10,98,RR-004,2011-07-30,2011-08-04,2011-08-08,1,1,699.1,678.13,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000032,SO45134,1,SHP-001070,22895,314,1,6,19,RR-004,2011-08-01,2011-08-10,2011-08-14,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000033,SO45155,1,SHP-001091,18900,312,1,9,6,RR-003,2011-08-10,2011-08-16,2011-08-19,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000034,SO45171,1,SHP-001107,11754,345,1,9,6,RR-005,2011-08-12,2011-08-20,2011-08-21,1,1,3399.99,3297.99,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000035,SO45223,1,SHP-001159,18930,312,1,9,6,RR-003,2011-08-08,2011-08-14,2011-08-17,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000036,SO45240,1,SHP-001176,29155,310,1,1,100,RR-006,2011-08-25,2011-08-28,2011-08-30,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000037,SO45246,1,SHP-001182,18709,310,1,9,6,RR-004,2011-08-13,2011-08-18,2011-08-22,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000038,SO45264,1,SHP-001200,11454,349,1,9,6,RR-004,2011-08-17,2011-08-22,2011-08-26,1,1,3374.99,3273.74,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000039,SO45395,1,SHP-001252,29352,313,1,4,100,RR-005,2011-08-31,2011-09-04,2011-09-05,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000040,SO45445,1,SHP-001302,19105,310,1,9,6,RR-005,2011-09-05,2011-09-13,2011-09-14,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000041,SO45478,1,SHP-001335,29354,313,1,1,100,RR-005,2011-09-20,2011-09-24,2011-09-25,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000042,SO45600,1,SHP-001393,19628,313,1,9,6,RR-006,2011-09-23,2011-09-26,2011-09-28,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000043,SO45651,1,SHP-001444,19771,311,1,9,6,RR-004,2011-10-02,2011-10-07,2011-10-11,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000044,SO45657,1,SHP-001450,11266,311,1,1,100,RR-006,2011-10-01,2011-10-04,2011-10-06,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000045,SO45748,1,SHP-001541,18046,332,1,7,100,RR-003,2011-10-20,2011-10-26,2011-10-29,1,1,699.1,678.13,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000046,SO45825,1,SHP-001581,23725,314,1,6,19,RR-003,2011-10-16,2011-10-26,2011-10-29,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000047,SO45844,1,SHP-001600,11812,312,1,1,100,RR-004,2011-10-17,2011-10-22,2011-10-26,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000048,SO45863,1,SHP-001619,11873,314,1,4,100,RR-005,2011-10-26,2011-11-03,2011-11-04,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000049,SO45903,1,SHP-001659,15619,310,1,10,98,RR-006,2011-11-09,2011-11-16,2011-11-18,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000050,SO45938,1,SHP-001694,11654,311,1,4,100,RR-004,2011-10-30,2011-11-04,2011-11-08,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000051,SO45962,1,SHP-001718,20227,310,1,9,6,RR-005,2011-11-23,2011-11-27,2011-11-28,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000052,SO45968,1,SHP-001724,11834,311,1,4,100,RR-003,2011-11-09,2011-11-15,2011-11-18,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000053,SO46001,1,SHP-001757,23806,310,1,6,19,RR-004,2011-11-25,2011-11-30,2011-12-04,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000054,SO46008,1,SHP-001764,11912,348,1,9,6,RR-005,2011-11-17,2011-11-21,2011-11-22,1,1,3374.99,3273.74,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000055,SO46013,1,SHP-001769,11705,311,1,4,100,RR-005,2011-11-10,2011-11-14,2011-11-15,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000056,SO46230,1,SHP-001901,11493,344,1,10,98,RR-006,2011-12-05,2011-12-08,2011-12-10,1,1,3399.99,3297.99,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000057,SO46261,1,SHP-001932,26075,348,1,1,100,RR-004,2011-12-06,2011-12-11,2011-12-15,1,1,3374.99,3273.74,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000058,SO46267,1,SHP-001938,20448,314,1,9,6,RR-006,2011-12-22,2011-12-25,2011-12-27,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000059,SO46292,1,SHP-001963,20418,313,1,9,6,RR-006,2011-12-17,2011-12-20,2011-12-22,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000060,SO46436,1,SHP-002039,12337,347,1,9,6,RR-006,2011-12-22,2011-12-29,2011-12-31,1,1,3399.99,3297.99,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000061,SO46472,1,SHP-002075,12248,344,1,9,6,RR-006,2012-01-08,2012-01-15,2012-01-17,1,1,3399.99,3297.99,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000062,SO46494,1,SHP-002097,20983,313,1,9,6,RR-006,2012-01-05,2012-01-12,2012-01-14,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000063,SO46576,1,SHP-002179,24757,310,1,6,19,RR-003,2012-01-17,2012-01-27,2012-01-30,1,1,3578.27,3470.92,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000064,SO46676,1,SHP-002207,18047,385,1,8,100,RR-004,2012-01-27,2012-02-01,2012-02-05,1,1,1000.44,970.42,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000065,SO46694,1,SHP-002225,13220,373,1,4,100,RR-004,2012-01-21,2012-01-30,2012-02-03,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000066,SO46702,1,SHP-002233,15116,369,1,8,100,RR-004,2012-01-24,2012-02-02,2012-02-06,1,1,2443.35,2370.05,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000067,SO46704,1,SHP-002235,13059,370,1,4,100,RR-006,2012-01-29,2012-02-05,2012-02-07,1,1,2443.35,2370.05,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000068,SO46779,1,SHP-002310,15929,377,1,10,98,RR-006,2012-02-08,2012-02-11,2012-02-13,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000069,SO46801,1,SHP-002332,25094,368,1,6,19,RR-004,2012-02-10,2012-02-15,2012-02-19,1,1,2443.35,2370.05,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000070,SO46814,1,SHP-002345,13165,371,1,4,100,RR-006,2012-02-04,2012-02-07,2012-02-09,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000071,SO46842,1,SHP-002373,15166,321,1,4,100,RR-003,2012-02-14,2012-02-24,2012-02-27,1,1,782.99,759.5,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000072,SO46860,1,SHP-002391,21180,371,1,9,6,RR-003,2012-02-05,2012-02-11,2012-02-14,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000073,SO46875,1,SHP-002406,11470,362,1,8,100,RR-005,2012-02-16,2012-02-20,2012-02-21,1,1,2049.1,1987.63,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000074,SO46897,1,SHP-002428,21179,368,1,9,6,RR-005,2012-02-18,2012-02-26,2012-02-27,1,1,2443.35,2370.05,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000075,SO46927,1,SHP-002458,12348,362,1,9,6,RR-005,2012-02-16,2012-02-24,2012-02-25,1,1,2049.1,1987.63,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000076,SO47097,1,SHP-002489,21257,370,1,9,6,RR-006,2012-02-28,2012-03-02,2012-03-04,1,1,2443.35,2370.05,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000077,SO47111,1,SHP-002503,25100,369,1,6,19,RR-005,2012-03-03,2012-03-11,2012-03-12,1,1,2443.35,2370.05,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000078,SO47169,1,SHP-002561,26281,352,1,4,100,RR-004,2012-02-24,2012-02-29,2012-03-04,1,1,2071.42,2009.28,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000079,SO47172,1,SHP-002564,12668,352,1,9,6,RR-004,2012-02-25,2012-03-01,2012-03-05,1,1,2071.42,2009.28,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000080,SO47231,1,SHP-002623,11564,362,1,8,100,RR-004,2012-03-10,2012-03-15,2012-03-19,1,1,2049.1,1987.63,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000081,SO47237,1,SHP-002629,28834,368,1,6,100,RR-006,2012-03-05,2012-03-08,2012-03-10,1,1,2443.35,2370.05,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000082,SO47339,1,SHP-002731,15626,371,1,8,100,RR-005,2012-03-18,2012-03-22,2012-03-23,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000083,SO47496,1,SHP-002777,16470,371,1,10,98,RR-003,2012-04-03,2012-04-09,2012-04-12,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000084,SO47532,1,SHP-002813,24888,383,1,9,6,RR-004,2012-04-05,2012-04-10,2012-04-14,1,1,1000.44,970.42,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000085,SO47534,1,SHP-002815,26148,329,1,9,6,RR-006,2012-03-30,2012-04-02,2012-04-04,1,1,782.99,759.5,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000086,SO47549,1,SHP-002830,19256,343,1,7,100,RR-006,2012-04-05,2012-04-12,2012-04-14,1,1,782.99,759.5,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000087,SO47551,1,SHP-002832,21878,371,1,9,6,RR-005,2012-04-15,2012-04-23,2012-04-24,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000088,SO47596,1,SHP-002877,16199,373,1,8,100,RR-006,2012-04-10,2012-04-13,2012-04-15,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000089,SO47743,1,SHP-002951,12988,362,1,9,6,RR-006,2012-04-19,2012-04-26,2012-04-28,1,1,2049.1,1987.63,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000090,SO47805,1,SHP-003013,22198,379,1,9,6,RR-003,2012-05-03,2012-05-13,2012-05-16,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000091,SO47821,1,SHP-003029,13038,352,1,9,6,RR-005,2012-05-12,2012-05-16,2012-05-17,1,1,2071.42,2009.28,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000092,SO47864,1,SHP-003072,21966,373,1,9,6,RR-004,2012-05-08,2012-05-13,2012-05-17,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000093,SO47882,1,SHP-003090,13464,375,1,4,100,RR-004,2012-05-19,2012-05-24,2012-05-28,1,1,2181.56,2116.12,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
RET-000094,SO47937,1,SHP-003145,20549,321,1,8,100,RR-005,2012-05-30,2012-06-03,2012-06-04,1,1,782.99,759.5,REFUND,REFUNDED,SIMULATED return linked to an AdventureWorks order line,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
