ad_date,campaign_id,target_country_code,channel,platform,billing_currency,impressions,clicks,conversions,spend,attributed_revenue_usd,ctr,conversion_rate,cost_per_click,cost_per_acquisition,roas,synthetic_note,data_origin,generator_version,scenario_id,seed,generated_at
2011-02-05,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1080,38,0,29.01,0,0.035185,0,0.7634,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-06,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1070,38,0,29.52,0,0.035514,0,0.7768,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-07,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1183,42,1,32.44,3578.27,0.035503,0.02381,0.7724,32.44,110.3043,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-08,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1199,41,1,30.74,3578.27,0.034195,0.02439,0.7498,30.74,116.4044,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-09,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1093,38,0,28.32,0,0.034767,0,0.7453,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-10,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,768,27,1,20.49,699.1,0.035156,0.037037,0.7589,20.49,34.1191,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-11,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,765,27,1,20.61,3578.27,0.035294,0.037037,0.7633,20.61,173.6181,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-12,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,775,28,1,21,3578.27,0.036129,0.035714,0.75,21,170.3938,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-13,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,661,24,0,18.1,0,0.036309,0,0.7542,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-14,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1495,53,0,41.17,0,0.035452,0,0.7768,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-15,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1711,60,2,46.88,7156.54,0.035067,0.033333,0.7813,23.44,152.6566,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-16,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,651,23,0,17.66,0,0.03533,0,0.7678,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-17,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1498,53,0,40.93,0,0.035381,0,0.7723,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-18,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,684,24,0,17.35,0,0.035088,0,0.7229,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-19,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,681,24,0,17.46,0,0.035242,0,0.7275,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-20,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1129,38,0,27.81,0,0.033658,0,0.7318,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-21,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1133,39,0,28.37,0,0.034422,0,0.7274,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-22,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1136,39,0,28.19,0,0.034331,0,0.7228,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-23,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1139,39,0,28.02,0,0.034241,0,0.7185,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-24,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1116,37,0,26.41,0,0.033154,0,0.7138,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-25,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1119,38,0,26.96,0,0.033959,0,0.7095,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-26,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1123,38,0,26.78,0,0.033838,0,0.7047,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-27,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1236,42,1,29.42,3578.27,0.033981,0.02381,0.7005,29.42,121.6271,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-02-28,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1103,38,0,29.17,0,0.034451,0,0.7676,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-01,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1211,52,0,60.26,0,0.04294,0,1.1588,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-02,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1221,53,0,60.71,0,0.043407,0,1.1455,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-03,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1218,53,0,60.95,0,0.043514,0,1.15,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-04,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1228,54,0,61.37,0,0.043974,0,1.1365,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-05,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1224,53,0,60.47,0,0.043301,0,1.1409,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-06,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1454,64,2,72.16,7156.54,0.044017,0.03125,1.1275,36.08,99.176,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-07,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1231,54,0,61.13,0,0.043867,0,1.132,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-08,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1188,52,0,61.9,0,0.043771,0,1.1904,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-09,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1295,57,1,68.11,3578.27,0.044015,0.017544,1.1949,68.11,52.5366,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-10,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1304,60,1,70.89,3578.27,0.046012,0.016667,1.1815,70.89,50.4764,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-11,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1198,55,0,64.73,0,0.04591,0,1.1769,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-12,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1188,54,0,64.28,0,0.045455,0,1.1904,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-13,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1191,54,0,64.04,0,0.04534,0,1.1859,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-14,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1181,54,0,64.77,0,0.045724,0,1.1994,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-15,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1185,54,0,64.53,0,0.04557,0,1.195,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-16,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1175,53,0,64.04,0,0.045106,0,1.2083,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-17,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1398,63,2,75.85,6978.26,0.045064,0.031746,1.204,37.925,92.0008,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-18,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1221,55,0,63,0,0.045045,0,1.1455,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-19,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1444,65,2,74.17,4277.37,0.045014,0.030769,1.1411,37.085,57.6698,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-20,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1175,53,0,88.8,0,0.045106,0,1.6755,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-21,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1171,53,0,89.04,0,0.04526,0,1.68,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-22,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1278,58,1,97.7,3578.27,0.045383,0.017241,1.6845,97.7,36.6251,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-23,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1275,57,1,96.27,3578.27,0.044706,0.017544,1.6889,96.27,37.1691,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-24,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1188,54,0,91.44,0,0.045455,0,1.6933,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-25,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1184,54,0,91.69,0,0.045608,0,1.698,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-26,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1181,54,0,91.93,0,0.045724,0,1.7024,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-27,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1178,53,0,90.47,0,0.044992,0,1.707,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-28,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1201,53,0,90.7,0,0.04413,0,1.7113,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-29,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1308,58,1,99.52,699.1,0.044343,0.017241,1.7159,99.52,7.0247,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-30,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1155,37,0,41.72,0,0.032035,0,1.1276,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-03-31,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,1158,37,0,41.55,0,0.031952,0,1.123,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-01,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,844,24,0,35.43,0,0.028436,0,1.4763,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-02,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,848,24,0,35.32,0,0.028302,0,1.4717,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-03,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,961,28,1,41.09,3578.27,0.029136,0.035714,1.4675,41.09,87.0837,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-04,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,938,26,1,38.03,3399.99,0.027719,0.038462,1.4627,38.03,89.4028,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-05,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,831,23,0,33.54,0,0.027677,0,1.4583,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-06,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,834,24,0,34.89,0,0.028777,0,1.4538,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-07,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,838,24,0,34.78,0,0.02864,0,1.4492,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-08,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,978,27,1,39.01,3578.27,0.027607,0.037037,1.4448,39.01,91.727,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-09,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,871,24,0,34.57,0,0.027555,0,1.4404,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-10,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,861,36,0,52.34,0,0.041812,0,1.4539,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-11,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,858,36,0,52.5,0,0.041958,0,1.4583,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-12,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,854,35,0,51.2,0,0.040984,0,1.4629,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-13,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,851,35,0,51.35,0,0.041128,0,1.4671,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-14,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,848,35,0,50.25,0,0.041274,0,1.4357,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-15,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,844,35,0,50.41,0,0.041469,0,1.4403,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-16,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,841,35,0,50.57,0,0.041617,0,1.4449,0,0,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-17,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,948,39,1,56.52,3578.27,0.041139,0.025641,1.4492,56.52,63.3098,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-18,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,998,41,1,58.13,3578.27,0.041082,0.02439,1.4178,58.13,61.5563,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
2011-04-19,CMP-US-SEARCH,US,Paid Search,Google Ads,USD,994,41,1,58.32,3578.27,0.041247,0.02439,1.4224,58.32,61.3558,SIMULATED daily advertising performance,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
