shipment_id,sales_order_number,customer_key,sales_territory_key,origin_country,destination_country,destination_region,carrier_id,carrier_name,service_level,tracking_number,ship_date,promised_delivery_date,actual_delivery_date,transit_days,delay_days,on_time_flag,cross_border_flag,customs_delay_days,shipment_status,order_line_count,freight_amount,synthetic_note,data_origin,generator_version,scenario_id,seed,generated_at
SHP-000027,SO43723,14520,1,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43723,2011-01-11,2011-01-16,2011-01-13,3,0,1,0,0,DELIVERED,1,17.48,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000028,SO43724,16520,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43724,2011-01-11,2011-01-16,2011-01-15,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000029,SO43725,13258,8,United States,Germany,Europe,CAR-002,ParcelBridge,Economy,SYN-002-43725,2011-01-12,2011-01-17,2011-01-19,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000030,SO43726,14560,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43726,2011-01-12,2011-01-17,2011-01-14,3,0,1,0,0,DELIVERED,1,17.48,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000031,SO43727,16607,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43727,2011-01-12,2011-01-17,2011-01-17,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000032,SO43728,27666,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43728,2011-01-13,2011-01-18,2011-01-17,5,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000033,SO43729,11238,10,United States,United Kingdom,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43729,2011-01-13,2011-01-18,2011-01-20,8,2,0,1,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000034,SO43730,25861,4,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43730,2011-01-13,2011-01-18,2011-01-17,5,0,1,0,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000035,SO43731,16629,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43731,2011-01-13,2011-01-18,2011-01-19,7,1,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000036,SO43732,11025,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43732,2011-01-13,2011-01-18,2011-01-20,8,2,0,1,0,DELIVERED,1,84.37,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000037,SO43733,27577,1,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43733,2011-01-13,2011-01-18,2011-01-17,5,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000038,SO43734,27604,1,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43734,2011-01-14,2011-01-19,2011-01-17,4,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000039,SO43735,16522,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43735,2011-01-14,2011-01-19,2011-01-20,7,1,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000040,SO43736,11002,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43736,2011-01-14,2011-01-19,2011-01-21,8,2,0,1,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000041,SO43737,13261,8,United States,Germany,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43737,2011-01-15,2011-01-20,2011-01-19,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000042,SO43738,11606,7,United States,France,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43738,2011-01-15,2011-01-20,2011-01-20,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000043,SO43739,13563,10,United States,United Kingdom,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43739,2011-01-15,2011-01-20,2011-01-21,7,1,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000044,SO43740,16527,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43740,2011-01-15,2011-01-20,2011-01-21,7,1,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000045,SO43741,27671,1,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43741,2011-01-16,2011-01-21,2011-01-20,5,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000046,SO43742,13576,10,United States,United Kingdom,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43742,2011-01-16,2011-01-21,2011-01-20,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000047,SO43743,11007,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43743,2011-01-16,2011-01-21,2011-01-23,8,2,0,1,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000048,SO43744,16631,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43744,2011-01-16,2011-01-21,2011-01-22,7,1,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000049,SO43745,16514,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43745,2011-01-17,2011-01-22,2011-01-22,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000050,SO43746,16616,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43746,2011-01-17,2011-01-22,2011-01-21,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000051,SO43747,27623,4,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43747,2011-01-18,2011-01-23,2011-01-20,3,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000052,SO43748,27625,1,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43748,2011-01-18,2011-01-23,2011-01-22,5,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000053,SO43749,27636,1,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43749,2011-01-18,2011-01-23,2011-01-21,4,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000054,SO43750,11591,7,United States,France,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43750,2011-01-18,2011-01-23,2011-01-25,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000055,SO43751,11592,7,United States,France,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43751,2011-01-18,2011-01-23,2011-01-22,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000056,SO43752,13265,8,United States,Germany,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43752,2011-01-18,2011-01-23,2011-01-23,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000057,SO43753,16482,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43753,2011-01-18,2011-01-23,2011-01-24,7,1,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000058,SO43754,27617,1,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43754,2011-01-19,2011-01-24,2011-01-21,3,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000059,SO43755,27670,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43755,2011-01-19,2011-01-24,2011-01-22,4,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000060,SO43756,19941,10,United States,United Kingdom,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43756,2011-01-19,2011-01-24,2011-01-24,6,0,1,1,0,DELIVERED,1,17.48,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000061,SO43757,11017,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43757,2011-01-19,2011-01-24,2011-01-25,7,1,0,1,0,DELIVERED,1,84.37,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000062,SO43758,27646,4,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43758,2011-01-20,2011-01-25,2011-01-23,4,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000063,SO43759,13257,8,United States,Germany,Europe,CAR-003,GlobalPost,International Priority,SYN-003-43759,2011-01-20,2011-01-25,2011-01-24,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000064,SO43760,16352,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43760,2011-01-20,2011-01-25,2011-01-24,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000065,SO43761,16493,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43761,2011-01-20,2011-01-25,2011-01-27,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000066,SO43762,27578,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43762,2011-01-21,2011-01-26,2011-01-25,5,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000067,SO43763,16525,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43763,2011-01-21,2011-01-26,2011-01-26,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000068,SO43764,16612,9,United States,Australia,Pacific,CAR-003,GlobalPost,International Priority,SYN-003-43764,2011-01-21,2011-01-26,2011-01-25,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000069,SO43765,11010,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43765,2011-01-21,2011-01-26,2011-01-28,8,2,0,1,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000070,SO43766,16518,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43766,2011-01-22,2011-01-27,2011-01-28,7,1,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000071,SO43767,11001,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43767,2011-01-22,2011-01-27,2011-01-27,6,0,1,1,0,DELIVERED,1,84.37,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000072,SO43768,27649,1,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43768,2011-01-23,2011-01-28,2011-01-27,5,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000073,SO43769,21659,6,United States,Canada,North America,CAR-002,ParcelBridge,Economy,SYN-002-43769,2011-01-23,2011-01-28,2011-01-30,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000074,SO43770,27614,1,United States,United States,North America,CAR-001,NorthStar Express,Standard,SYN-001-43770,2011-01-23,2011-01-28,2011-01-25,3,0,1,0,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000075,SO43771,14559,4,United States,United States,North America,CAR-002,ParcelBridge,Economy,SYN-002-43771,2011-01-23,2011-01-28,2011-01-26,4,0,1,0,0,DELIVERED,1,17.48,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000076,SO43772,16524,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43772,2011-01-23,2011-01-28,2011-01-30,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000077,SO43773,16526,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43773,2011-01-23,2011-01-28,2011-01-27,5,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000078,SO43774,16348,9,United States,Australia,Pacific,CAR-004,EuroFreight,International Economy,SYN-004-43774,2011-01-23,2011-01-28,2011-01-28,6,0,1,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000079,SO43775,11027,9,United States,Australia,Pacific,CAR-002,ParcelBridge,Economy,SYN-002-43775,2011-01-23,2011-01-28,2011-01-29,7,1,0,1,0,DELIVERED,1,85,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
SHP-000080,SO43776,13260,8,United States,Germany,Europe,CAR-002,ParcelBridge,Economy,SYN-002-43776,2011-01-24,2011-01-29,2011-01-31,8,2,0,1,0,DELIVERED,1,89.46,SIMULATED shipment linked to AdventureWorks SalesOrderNumber,synthetic_extension,1.0.0,BASELINE,20260728,2026-07-28T00:00:00.000Z
